Term	Overlap	P.value	Adjusted.P.value	Genes
Positive Regulation Of Cell Motility (GO:2000147)	24/221	2.7538789944301e-06	0.000326016905571379	LRRC15;F10;ROCK2;SEMA3D;SEMA6D;LEF1;TWIST2;FAM107A;SEMA3F;RHOD;ADRA2A;MYLK;VEGFA;BMP2;CXCL12;GPNMB;DAAM2;PDGFD;PDGFC;KIT;HAS2;PTK2B;ATM;EPHB2
Neuron Projection Guidance (GO:0097485)	17/124	3.4866764094302e-06	0.000397481110675043	EPHB6;EPHA5;ROBO2;PLEKHG4;BDNF;SEMA3D;SEMA6D;SEMA3A;WNT5A;SEMA3F;EFNB2;ENAH;KLF7;CXCL12;SLIT2;EPHB2;EPHB1
Negative Regulation Of Apoptotic Process (GO:0043066)	39/482	5.01437436744525e-06	0.000541745382076448	PRKAA1;LTK;RPL10;LEF1;IFI6;NDNF;FMN2;CLU;DLL1;IFIT3;AQP1;FOXQ1;SOCS2;COMP;PRDX5;PTK2B;NTSR1;IER3;NTRK2;OPN3;ANGPT1;BDNF;PLK2;PLK1;WNT5A;PLAUR;DHRS2;HIPK3;VEGFA;SFRP1;IL6;AXL;CLCF1;RASA1;ANGPTL4;GAS6;IL6ST;CRYAB;LGMN
Negative Regulation Of Cellular Process (GO:0048523)	42/537	5.10416376875146e-06	0.000541745382076448	IFITM1;TES;ADRA1D;CXCL1;ADARB1;IFI35;CLU;NUDT6;DLL1;IFIT3;WNT11;GPNMB;FRZB;ADAMTS1;SERTAD2;SH3BP4;PTK2B;PLXNC1;SLIT2;EPHB2;TP53I11;E2F7;SMAD3;ANGPT1;DUSP1;IGFBP3;ITGA1;HMGA1;NRG1;AXIN2;WNT16;DHRS2;DCBLD2;BST2;FRMD5;SFRP1;BMP2;IL6;RGCC;RASA1;TGFBI;CRYAB
Negative Regulation Of Programmed Cell Death (GO:0043069)	33/381	6.54146718801041e-06	0.000671154533489868	LTK;PRKAA1;RPL10;AMIGO2;LEF1;IFI6;FMN2;SLC7A11;IFIT3;AQP1;COMP;SOCS2;PRDX5;PTK2B;NTSR1;IER3;OPN3;ANGPT1;PLK2;PLK1;WNT5A;PLAUR;DHRS2;HIPK3;VEGFA;SFRP1;IL6;AXL;RASA1;ANGPTL4;GAS6;IL6ST;CRYAB
Sequestering Of Extracellular Ligand From Receptor (GO:0035581)	5/9	7.81899175153354e-06	0.00076056300504662	GREM2;NRROS;LTBP1;NBL1;FBN1
Positive Regulation Of Cell Differentiation (GO:0045597)	27/283	7.90708777176473e-06	0.00076056300504662	DLX1;IFITM1;FOXC1;DLX2;CEBPB;TNXB;LAMA2;LEF1;MEDAG;LOXL2;TMEM100;FRZB;PPP1R13L;DPF3;CMKLR1;SMAD3;IGFBP3;AXIN2;SFRP1;BMP2;IL6;RGCC;ID2;TMEM119;PLCB1;IL6ST;NBL1
Cytoplasmic Translation (GO:0002181)	14/93	8.38254986903243e-06	0.000781863287784297	RPL41;RPL10;RPL11;RPL10A;RPS28;RPL37A;RPL36;RPS3;RPL38;RPL27;RPS20;RPL26;FAU;RPL28
Interleukin-27-Mediated Signaling Pathway (GO:0070106)	4/5	9.21900875525988e-06	0.000810745969962569	OAS1;OAS2;MX1;OASL
Regulation Of Ribonuclease Activity (GO:0060700)	4/5	9.21900875525988e-06	0.000810745969962569	OAS1;OAS2;OAS3;OASL
Positive Regulation Of Gene Expression (GO:0010628)	38/480	1.08956813028206e-05	0.000912218527494591	PTGER4;PRKAA1;SLC24A3;ROCK2;RPL11;LEF1;TNC;RBPJ;CLU;FGF2;DLL1;UXT;C1QTNF1;RPS3;ITGB8;EPHB2;NTSR1;NTRK2;EGR1;SMAD3;CADM1;ANGPT1;WNT5A;WNT16;FER1L6;ADRA2A;VEGFA;PLSCR1;BMP2;IL6;RGCC;PSG4;ID2;TMEM119;ATM;RPL26;GAS6;TLR4
Negative Regulation Of Cellular Response To Growth Factor Stimulus (GO:0090288)	12/71	1.09655898366796e-05	0.000912218527494591	DLX1;SMURF2;NEDD4;ATP2B4;CRIM1;SPRY1;SLIT2;SULF1;FGF2;NBL1;TRIM33;SULF2
Extracellular Structure Organization (GO:0043062)	15/109	1.23675519986759e-05	0.00100177171189275	POSTN;MMP1;COL11A1;MMP3;NDNF;MMP10;ADAMTS14;ADAMTS2;COL3A1;ADAMTS1;ADAMTSL4;SMOC1;COL8A1;MMP19;TGFBI
External Encapsulating Structure Organization (GO:0045229)	15/110	1.38362111812182e-05	0.00109199635937922	POSTN;MMP1;COL11A1;MMP3;NDNF;MMP10;ADAMTS14;ADAMTS2;COL3A1;ADAMTS1;ADAMTSL4;SMOC1;COL8A1;MMP19;TGFBI
Negative Regulation Of Cell Population Proliferation (GO:0008285)	32/379	1.5087603091528e-05	0.0011379692000153	IFITM1;TES;ADRA1D;CXCL1;ADARB1;IFI35;NUDT6;DLL1;IFIT3;GPNMB;FRZB;ADAMTS1;MARVELD3;HMOX1;PTK2B;SH3BP4;APOD;TP53I11;E2F7;SMAD3;IGFBP5;IGFBP3;WNT5A;ITGA1;HMGA1;NRG1;AXIN2;DHRS2;SFRP1;BMP2;IL6;RGCC
