gene	direction	loo_fraction
SLC44A1	up	0.8
STXBP6	up	0.6
RPL23	up	0.6
HIP1	up	0.6
HSPA6	up	0.6
PRKAR1B	up	0.6
RPL30	up	0.6
NAV2	up	0.6
CORO6	up	0.6
ESRRA	up	0.6
ADAM10	up	0.6
AC004057.1	up	0.4
CDH6	up	0.8
LDHAP4	up	0.4
PGBD3	up	0.4
PARP9	up	0.8
SH3BGRL2	up	0.6
C12orf44	up	0.6
PDK3	up	0.8
ERGIC1	up	0.6
IFITM2	up	0.6
SHC3	up	0.6
NES	up	0.6
PPIB	up	0.6
PPL	up	0.6
BMP1	up	0.6
MFAP2	up	0.6
GADD45A	up	0.8
MYEOV2	up	0.8
SCARA3	up	0.8
PTGIS	up	0.8
HELZ2	up	0.8
HSPD1	up	0.6
LYPD1	up	0.8
SAT1	up	0.6
MYOM1	up	0.6
TCEAL4	up	0.6
RPL37A	up	0.8
EXOSC4	up	0.6
GPD2	up	0.6
RPL36	up	0.8
TGFBI	up	0.8
MRPS12	up	0.6
SAA1	up	0.6
CCDC101	up	0.6
C6orf48	up	0.8
CCDC69	up	0.6
ITPKB	up	0.6
RPS8	up	0.6
IGFN1	up	0.6
CDH19	up	0.4
MRPS34	up	0.6
GMPR	up	0.6
ADAMTS1	up	0.8
VSTM4	up	0.6
PGD	up	0.6
OASL	up	0.8
IFITM3	up	0.6
NSDHL	up	0.6
DIRC3	up	0.6
GAL3ST4	up	0.6
TEX2	up	0.6
EIF3FP3	up	0.6
MME	up	0.8
BST2	up	0.8
PHGDH	up	0.6
PLAG1	up	0.8
TANC1	up	0.6
TJP2	up	0.6
FAM207A	up	0.6
SF3B5	up	0.6
LINC00622	up	0.8
RPL38	up	0.8
MAOA	up	0.8
PON2	up	0.6
HRAS	up	0.6
EMILIN3	up	0.6
CMTM7	up	0.6
PPP1R16A	up	0.6
TMED9	up	0.6
RPL35	up	0.6
SYNGR1	up	0.6
SDK1	up	0.6
S100A16	up	0.8
IDH3B	up	0.6
AP2S1	up	0.6
ANO4	up	0.6
RNASE4	up	0.6
ARID5A	up	0.8
TRHDE	up	0.8
WISP1	up	0.8
IL32	up	0.8
SPECC1	up	0.6
PITPNM1	up	0.6
IRAK3	up	0.6
NPAS2	up	0.6
ST6GALNAC5	up	0.6
EIF1	up	0.6
RP11-390P2.4	up	0.4
SIX2	up	0.8
RORB	up	0.8
PDGFRL	up	0.6
JPH2	up	0.6
QTRT1	up	0.6
MANF	up	0.6
PTPRU	up	0.6
CHPF	up	0.6
DDIT3	up	0.6
ACAT2	up	0.6
COLEC12	up	0.8
TLCD2	up	0.6
PGM2L1	up	0.6
NFATC1	up	0.6
LDHB	up	0.6
RPS20	up	0.8
FZD6	up	0.6
