Name	Score	padj	coverage	n_topfrac
LGMN	0.000735766889284514	0.000735766889284514	5	3
CYSTM1	0.000746635318560584	0.000746635318560584	5	3
SPON2	0.000763135178613527	0.000763135178613527	5	3
RNA28S5	0.000769609652524701	0.000769609652524701	3	2
MX1	0.000769609652524701	0.000769609652524701	5	2
MMP1	0.000769609652524701	0.000769609652524701	5	2
LRRC32	0.000774267260131308	0.000774267260131308	5	3
NSMF	0.000794004467697824	0.000794004467697824	5	3
MT2A	0.000794495467000998	0.000794495467000998	5	2
CKB	0.000799703819999897	0.000799703819999897	5	3
CYP7B1	0.000843931380346836	0.000843931380346836	3	2
EPHB6	0.000870206795097871	0.000870206795097871	5	3
FNDC4	0.000891513053103215	0.000891513053103215	5	3
SRPX	0.000894584508242386	0.000894584508242386	5	3
PLXNA2	0.000920858344816393	0.000920858344816393	5	2
IL1R1	0.000931986044407247	0.000931986044407247	5	3
RPL28	0.000947239604964428	0.000947239604964428	5	2
SULT1B1	0.000947239604964428	0.000947239604964428	5	2
MFAP5	0.000987503774942061	0.000987503774942061	4	2
FMO3	0.00100110970376342	0.00100110970376342	5	2
OAS1	0.00101651590348707	0.00101651590348707	5	3
ITGA10	0.00107052261184252	0.00107052261184252	5	2
RPS19	0.00109893297593154	0.00109893297593154	5	2
GABARAPL1	0.00112369836881663	0.00112369836881663	5	3
PTK2B	0.00115685900315717	0.00115685900315717	5	2
ALPL	0.0011715706799267	0.0011715706799267	5	2
IFI6	0.0011715706799267	0.0011715706799267	5	2
FBLN5	0.00117811939520591	0.00117811939520591	5	3
EFEMP1	0.00118637439017186	0.00118637439017186	5	2
RPL26	0.00120036297987278	0.00120036297987278	5	3
PNMAL1	0.00124185535153943	0.00124185535153943	5	3
ADRA1B	0.0012925758502403	0.0012925758502403	5	2
IL11	0.00130811520735354	0.00130811520735354	5	2
RPS2	0.00132374644273227	0.00132374644273227	5	2
PRR5L	0.00141946233338984	0.00141946233338984	5	2
HAS2	0.00145210187515167	0.00145210187515167	5	2
PLA2R1	0.00148510830965674	0.00148510830965674	5	2
ABI3BP	0.00150174906863127	0.00150174906863127	5	2
IFIT1	0.00153912453428914	0.00153912453428914	5	2
AC007969.5	0.00153912453428914	0.00153912453428914	3	1
APOD	0.00153912453428914	0.00153912453428914	5	2
FAM57A	0.00155222130580906	0.00155222130580906	5	2
DKK1	0.00156922864756415	0.00156922864756415	5	2
MUC1	0.00158632759197673	0.00158632759197673	5	2
IGFBP2	0.00159456959049275	0.00159456959049275	5	3
APOL2	0.00160351812183491	0.00160351812183491	5	2
FRZB	0.00162080021992847	0.00162080021992847	5	2
CTD-2192J16.15	0.00163817386904875	0.00163817386904875	3	2
PCDH18	0.00163817386904875	0.00163817386904875	5	2
IL8	0.0016556390519887	0.0016556390519887	4	2
PLAUR	0.00169084395050749	0.00169084395050749	5	2
SESN3	0.00170858363168027	0.00170858363168027	5	2
GLRX	0.00172641477786059	0.00172641477786059	5	2
SLC20A2	0.00187937926600016	0.00187937926600016	5	3
DPT	0.00190975303208874	0.00190975303208874	5	2
MMP10	0.0019475165437758	0.0019475165437758	4	2
GPM6B	0.00196653517052731	0.00196653517052731	5	2
GRIA1	0.00198564502164604	0.00198564502164604	3	2
RP11-742N3.1	0.00202413832828052	0.00202413832828052	3	2
SSPN	0.0020334636863872	0.0020334636863872	5	3
MMP3	0.00212196681912985	0.00212196681912985	5	2
TRIM47	0.00214180584696463	0.00214180584696463	5	2
PSD4	0.00216173594463525	0.00216173594463525	5	2
MCAM	0.0022220724850487	0.0022220724850487	5	2
LTBP1	0.00230379514231503	0.00230379514231503	5	2
C2CD4B	0.00230854465404623	0.00230854465404623	3	1
RP11-592N21.1	0.00230854465404623	0.00230854465404623	3	1
TGM2	0.00230854465404623	0.00230854465404623	5	1
FAM107A	0.00230854465404623	0.00230854465404623	5	2
IFI44L	0.00230854465404623	0.00230854465404623	5	2
RAB27B	0.00238697272095073	0.00238697272095073	5	2
KLF9	0.00240799431846274	0.00240799431846274	5	2
PPP1R14A	0.00242910676282774	0.00242910676282774	4	2
DNAJB4	0.00255768825312958	0.00255768825312958	5	2
SDF2L1	0.00264522401309753	0.00264522401309753	5	2
MGC4294	0.00264522401309753	0.00264522401309753	3	2
NFIA	0.0027118278060862	0.0027118278060862	5	2
LAMA2	0.00273421030728441	0.00273421030728441	5	2
ATP6V0B	0.00275668339838414	0.00275668339838414	5	2
PHKA1	0.00275668339838414	0.00275668339838414	5	2
CXCL1	0.00277924706226809	0.00277924706226809	4	2
C1QL1	0.00282464603992749	0.00282464603992749	5	2
MT-RNR1	0.00282464603992749	0.00282464603992749	3	2
PLXNB1	0.00284748131947638	0.00284748131947638	5	2
