gene	direction	loo_fraction	rra_score	padj	coverage	n_topfrac
PLCB1	down	0.8	0.00496608061289547	0.00496608061289547	5	2
STC2	down	0.8	0.00496608061289547	0.00496608061289547	5	2
AXL	down	0.8	0.00508705861782503	0.00508705861782503	5	2
GPNMB	down	0.8	0.00520946178637181	0.00520946178637181	5	2
BEX1	down	0.8	0.0052402851330196	0.0052402851330196	5	2
SLC7A11	down	0.8	0.00533328903228411	0.00533328903228411	5	2
ITGA1	down	0.8	0.00538527768804059	0.00538527768804059	4	1
OSR1	down	0.8	0.00538527768804059	0.00538527768804059	5	1
SULF1	down	0.8	0.00538527768804059	0.00538527768804059	5	1
ARHGAP33	down	0.8	0.00587541696085154	0.00587541696085154	5	2
C1GALT1	down	0.8	0.0059408826544115	0.0059408826544115	5	2
ADAM33	down	0.8	0.00615422412903585	0.00615422412903585	5	1
IL6	down	0.8	0.00615422412903585	0.00615422412903585	5	1
RFX7	down	0.8	0.00664964706295239	0.00664964706295239	5	2
ADAMTS2	down	0.8	0.00668436984587753	0.00668436984587753	5	2
FOXQ1	down	0.8	0.00668436984587753	0.00668436984587753	5	2
PTGS2	down	0.8	0.00692307586052994	0.00692307586052994	5	2
RPAP2	down	0.8	0.00692307586052994	0.00692307586052994	5	1
PFKFB3	down	0.8	0.00703644824273953	0.00703644824273953	5	2
SLC2A1	down	0.8	0.00717974661694844	0.00717974661694844	5	2
CLASP2	down	0.8	0.00754415063905818	0.00754415063905818	5	2
GAS1	down	0.8	0.00769183289127203	0.00769183289127203	5	1
HERC3	down	0.8	0.00769183289127203	0.00769183289127203	5	1
ID1	down	0.8	0.00769183289127203	0.00769183289127203	5	1
KIAA1033	down	0.8	0.00784199898342921	0.00784199898342921	5	2
EPHA5	down	0.8	0.00837673464759318	0.00837673464759318	5	2
TFPI2	down	0.8	0.00841558660318925	0.00841558660318925	5	2
DPP4	down	0.8	0.00846049523001071	0.00846049523001071	5	1
NEDD4	down	0.8	0.00846049523001071	0.00846049523001071	5	2
SOD3	down	0.8	0.00846049523001071	0.00846049523001071	5	1
FBLN2	down	0.8	0.00922906288549404	0.00922906288549404	5	1
ID3	down	0.8	0.00922906288549404	0.00922906288549404	5	1
PYGO1	down	0.8	0.00933328385547632	0.00933328385547632	5	2
TRIM33	down	0.8	0.00999753586646958	0.00999753586646958	5	1
PLA2G4A	down	0.8	0.00999885810923594	0.00999885810923594	5	2
TRIM16L	down	0.8	0.0105126242007216	0.0105126242007216	5	2
COL12A1	down	0.8	0.0105560013048603	0.0105560013048603	5	2
KAT6A	down	0.8	0.0107659141816843	0.0107659141816843	5	1
KCNJ2	down	0.8	0.0107659141816843	0.0107659141816843	5	1
LTK	down	0.8	0.0107659141816843	0.0107659141816843	5	1
MYO1B	down	0.8	0.0109061335302225	0.0109061335302225	5	2
MYO5A	down	0.8	0.0109502892314113	0.0109502892314113	5	2
