Name	Score	padj	coverage	n_topfrac
PDE2A	0.633989750625401	0.633989750625401	4	1
SKA2	0.633989750625401	0.633989750625401	5	1
CPN2	0.633989750625401	0.633989750625401	5	1
UTS2B	0.634680247263173	0.634680247263173	5	1
TMED8	0.634680247263173	0.634680247263173	5	1
LOC102723692	0.634680247263173	0.634680247263173	1	1
AP000350.5	0.635370656535016	0.635370656535016	3	1
RP4-656G21.1	0.635370656535016	0.635370656535016	1	1
NDUFS6	0.635370656535016	0.635370656535016	5	1
NUCKS1	0.636060978449217	0.636060978449217	5	1
AC005104.3	0.636060978449217	0.636060978449217	3	1
TAS2R8	0.636060978449217	0.636060978449217	1	1
NIPAL2	0.636751213014068	0.636751213014068	5	1
XRRA1	0.636751213014068	0.636751213014068	4	1
MARK3	0.636751213014068	0.636751213014068	5	1
NPM1	0.636751213014068	0.636751213014068	5	1
AP000692.9	0.637441360237859	0.637441360237859	3	1
AC006547.13	0.637441360237859	0.637441360237859	2	1
GAS5-AS1	0.637441360237859	0.637441360237859	4	1
LAMC1	0.638131420128879	0.638131420128879	5	1
CIRBP-AS1	0.638131420128879	0.638131420128879	5	1
LOC642484	0.638131420128879	0.638131420128879	1	1
ASAP1-IT2	0.638131420128879	0.638131420128879	1	1
MELK	0.638821392695417	0.638821392695417	5	1
SLC26A11	0.638821392695417	0.638821392695417	5	1
C15orf52	0.639511277945761	0.639511277945761	5	1
RPL22	0.639511277945761	0.639511277945761	5	1
RP11-438L19.1	0.640201075888198	0.640201075888198	2	1
CTSH	0.640201075888198	0.640201075888198	5	1
RRAGC	0.640890786531017	0.640890786531017	5	1
ADAM3B	0.640890786531017	0.640890786531017	1	1
CARD8	0.641580409882502	0.641580409882502	5	1
MIR96	0.641580409882502	0.641580409882502	1	1
SNAP25	0.642959394744619	0.642959394744619	5	1
NLRC3	0.642959394744619	0.642959394744619	4	1
OR5L1	0.642959394744619	0.642959394744619	1	1
XPOT	0.642959394744619	0.642959394744619	5	1
HINT3	0.643648756271821	0.643648756271821	5	1
MRPS34	0.643648756271821	0.643648756271821	5	1
PTMA	0.643648756271821	0.643648756271821	5	1
JAZF1	0.644338030540832	0.644338030540832	5	1
TGFB2	0.644338030540832	0.644338030540832	5	1
LIMS4	0.644338030540832	0.644338030540832	1	1
RP11-66D17.5	0.645027217559936	0.645027217559936	1	1
ERAP1	0.645716317337416	0.645716317337416	5	1
WDR48	0.645716317337416	0.645716317337416	5	1
LOC100421404	0.645716317337416	0.645716317337416	1	1
LRRC17	0.646405329881555	0.646405329881555	5	1
RPL19	0.646405329881555	0.646405329881555	5	1
NEDD1	0.647094255200635	0.647094255200635	5	1
MDK	0.647094255200635	0.647094255200635	5	1
AP1S2	0.647094255200635	0.647094255200635	5	1
RP11-359K18.4	0.647783093302939	0.647783093302939	3	1
ZNF131	0.647783093302939	0.647783093302939	5	1
DEFB131	0.647783093302939	0.647783093302939	1	1
SLC35E2	0.647783093302939	0.647783093302939	4	1
