pert	cell	type	trend	WTCS	WTCS_Pval	WTCS_FDR	NCS	Tau	TauRefSize	NCSct	N_upset	N_downset	t_gn_sym	MOAss	PCIDss
enoxacin	PC3	trt_cp	down	-0.312922069837988	0.000155447974996376	0.0372071205152784	-1.38983802966517	NA	NA	-0.931191479875664	113	118	TOP2A	NA	3229
BRD-K12105018	A549	trt_cp	up	0.318726190148977	9.60452633866187e-05	0.0331877293884233	1.3897784635054	NA	NA	0	113	118	NA	NA	1721551
BRD-K41757249	ASC	trt_cp	up	0.308395502770012	0.000240221954641656	0.0429557982393461	1.38975672033064	NA	NA	0	113	118	NA	NA	1366986
BRD-A18279961	PC3	trt_cp	up	0.316429381393528	0.000121808197652535	0.0347690529895647	1.38960544287606	NA	NA	1.1024747055642	113	118	NA	NA	60138089
L-689560	PC3	trt_cp	up	0.316344016662586	0.000121808197652535	0.0347690529895647	1.38923056209152	NA	NA	0	113	118	GRIN1; GRIN2A; GRIN2B; GRIN2C; GRIN2D	Glutamate receptor antagonist	4267713
KUC104542N	VCAP	trt_cp	down	-0.309688458750893	0.000200206721436402	0.0418213640469604	-1.3889689245972	NA	NA	-0.013889689245972	113	118	NA	NA	44828477
arctigenin	HCC515	trt_cp	up	0.31501450715667	0.000131708649587495	0.0351907133746681	1.38867011742272	NA	NA	-0.0346741907802813	113	118	ADIPOR1; AHR; CHUK; MAP2K1	MEK inhibitor	64981
mephentermine	ASC	trt_cp	up	0.308024442864842	0.000240221954641656	0.0429557982393461	1.3880845720917	NA	NA	0.0291855208151014	113	118	ADRA1A; ADRA1B; ADRA1D; ADRA2B; ADRA2C; ADRB1; ADRB2; ADRB3	Adrenergic receptor agonist	3677
BRD-K16752617	HT29	trt_cp	up	0.314361645754646	0.000142914655623768	0.036487699521366	1.38777311905719	NA	NA	-0.960392786309811	113	118	NA	NA	54638218
terazosin	PC3	trt_cp	up	0.315900094543134	0.000121808197652535	0.0347690529895647	1.38728106994675	NA	NA	0.0138728106994678	113	118	ADRA1A; ADRA1B; ADRA1D; KCNH2; KCNH6; KCNH7	Adrenergic receptor antagonist	44383
fillalbin	MCF7	trt_cp	up	0.312604448476341	0.000155447974996376	0.0372071205152784	1.38680000436427	NA	NA	0.954330982420606	113	118	NA	Increases arterial blood pressure	933171
tetrahydropalmatine	MCF7	trt_cp	down	-0.307093661168607	0.000262590448244158	0.0442036873242071	-1.38658725417704	NA	NA	-0.0297179429800951	113	118	DRD1	Serotonin release inhibitor	72301
