gene	source
ACVRL1	DGIdb
HCN2	DGIdb
FGF7	DGIdb
CLN8	DGIdb
DNAH6	DGIdb
FZD5	DGIdb
PPA1	DGIdb
PPP3R2	DGIdb
EPHA3	DGIdb
ZBTB22	DGIdb
NFE2	DGIdb
SSTR4	DGIdb
CYP7B1	DGIdb
PLIN3	DGIdb
CHKB	DGIdb
SLC22A5	DGIdb
NPFFR1	DGIdb
POLE3	DGIdb
S1PR5	DGIdb
CLCN2	DGIdb
GSK1	DGIdb
GNG5P1	DGIdb
BRINP1	DGIdb
DDX43	DGIdb
GGH	DGIdb
TNFSF13B	DGIdb
PSCA	DGIdb
ATP1A1	DGIdb
F2RL3	DGIdb
FMOD	DGIdb
ULK3	DGIdb
SLC12A5	DGIdb
ATP7A	DGIdb
UMPS	DGIdb
ART4	DGIdb
IL12RB1	DGIdb
VAV1	DGIdb
DRP2	DGIdb
ATP2B3	DGIdb
RUNX3	DGIdb
TLE5	DGIdb
ATP6V0A1	DGIdb
TESK2	DGIdb
GPR119	DGIdb
SENP6	DGIdb
CRTC1	DGIdb
RPS6KA5	DGIdb
SLC26A9	DGIdb
HTR3E	DGIdb
CALY	DGIdb
AGAP3	DGIdb
RPA1	DGIdb
DAGLB	DGIdb
TOP1MT	DGIdb
SGK2	DGIdb
HSD3B2	DGIdb
ALDH7A1P4	DGIdb
HAVCR2	DGIdb
SLC25A29	DGIdb
SENP3	DGIdb
CFL1	DGIdb
APOH	DGIdb
ANTP4	DGIdb
TRAF3IP2	DGIdb
ASPH	DGIdb
CD24P4	DGIdb
CHRNE	DGIdb
FOLR3	DGIdb
TXN2	DGIdb
GUCY2C	DGIdb
GUCY1A1	DGIdb
LAMA1	DGIdb
COL6A5	DGIdb
PSMC6	DGIdb
SEM1	DGIdb
PSMB3	DGIdb
ADRM1	DGIdb
KCNC1	DGIdb
KCNA6	DGIdb
KCNA7	DGIdb
SCNN1A	DGIdb
CYP26A1	DGIdb
TLR4	DGIdb
TXK	DGIdb
CHRNA10	DGIdb
CRTC2	DGIdb
SELPLG	DGIdb
PABPC1	DGIdb
DLL3	DGIdb
TNNI3	DGIdb
SLC5A1	DGIdb
RCE1	DGIdb
MARK3	DGIdb
HNF1A	DGIdb
DYRK4	DGIdb
RPS6KA6	DGIdb
PNLIP	DGIdb
RASGRP1	DGIdb
PGD	DGIdb
LGALS9	DGIdb
EP300	DGIdb
PTPN11	DGIdb
TXN	DGIdb
FHIT	DGIdb
FKBP4	DGIdb
GALP	DGIdb
HEXB	DGIdb
HOXB1	DGIdb
HSPD1	DGIdb
HSPB2	DGIdb
SERPING1	DGIdb
LIPA	DGIdb
RPS19	DGIdb
MT-CO1	DGIdb
MT1JP	DGIdb
PTGES3	DGIdb
MYT1L	DGIdb
SOST	DGIdb
PKD2	DGIdb
PLA2G4A	DGIdb
LTBR	DGIdb
F13A1	DGIdb
PLCD3	DGIdb
CSPG4	DGIdb
GRK5	DGIdb
KLKB1	DGIdb
NFATC1	DGIdb
SIRT4	DGIdb
CD36	DGIdb
KCNQ2	DGIdb
HSPG2	DGIdb
CD70	DGIdb
PRKDC	DGIdb
CYP26C1	DGIdb
SERPIND1	DGIdb
TBXT	DGIdb
ATP5F1D	DGIdb
CRBN	DGIdb
PRSS1	DGIdb
LPAR3	DGIdb
KISS1	DGIdb
CTSO	DGIdb
GNGT1	DGIdb
FMO5	DGIdb
CA14	DGIdb
ATP6V1C1	DGIdb
CYP7A1	DGIdb
RHOG	DGIdb
RAPGEF1	DGIdb
DPAGT1	DGIdb
EMX1	DGIdb
EMP3	DGIdb
ARR3	DGIdb
ARSB	DGIdb
DLX6	DGIdb
EBVM1	DGIdb
AMELX	DGIdb
ACTN4	DGIdb
NAT1	DGIdb
LGR6	DGIdb
DRD5P1	DGIdb
DRD5P2	DGIdb
ANXA2P2	DGIdb
ATP1A3	DGIdb
GYPB	DGIdb
FBN2	DGIdb
AP2M1	DGIdb
DNM2	DGIdb
DNCM	DGIdb
ECM2	DGIdb
DHX9	DGIdb
PKD2L1	DGIdb
FKBP1AP1	DGIdb
GNG10	DGIdb
BTF3P11	DGIdb
STMN1	DGIdb
CASP8	DGIdb
LPAR4	DGIdb
HIP1	DGIdb
ETV5	DGIdb
FSIP1	DGIdb
ACTBP6	DGIdb
CDC5L	DGIdb
E4F1	DGIdb
GLRX	DGIdb
GLE1	DGIdb
SMARCB1	DGIdb
GPER1	DGIdb
COL18A1	DGIdb
BVR1	DGIdb
CDH12P2	DGIdb
BUB1B	DGIdb
TRPM6	DGIdb
HLA-G	DGIdb
DTX1	DGIdb
HGD	DGIdb
ACTG1P1	DGIdb
LINC00473	DGIdb
UQCRB	DGIdb
COX11	DGIdb
DUSP2	DGIdb
APOBEC1	DGIdb
ACLY	DGIdb
CXCR3	DGIdb
F2RL2	DGIdb
FABP2	DGIdb
BIRC7	DGIdb
ATP2C1	DGIdb
BCHEL1	DGIdb
GPR183	DGIdb
ZBTB4	DGIdb
KCNV2	DGIdb
LAMA3	DGIdb
SLC6A1	DGIdb
GLI3	DGIdb
GLRA2	DGIdb
CHRFAM7A	DGIdb
OPN1MW	DGIdb
ARHGAP5	DGIdb
CLMN	DGIdb
HBA2	DGIdb
DKC1	DGIdb
PSORS1C3	DGIdb
CR2	DGIdb
CDH23	DGIdb
NR2E1	DGIdb
PSMA3	DGIdb
MMP8	DGIdb
ARVD4	DGIdb
CRKL	DGIdb
GDI2P1	DGIdb
COMP	DGIdb
CROT	DGIdb
IL20	DGIdb
AMPD2	DGIdb
ACSL3	DGIdb
MIR1912	DGIdb
LRBA	DGIdb
TUT7	DGIdb
FAP	DGIdb
PSMA4	DGIdb
DUT	DGIdb
KCNS3	DGIdb
CTTN	DGIdb
KCNH8	DGIdb
ENSA	DGIdb
ACTN2	DGIdb
TRH	DGIdb
NAAA	DGIdb
FRA13C	DGIdb
LGR5	DGIdb
COL5A1	DGIdb
SENP2	DGIdb
AMD1P2	DGIdb
FRA5C	DGIdb
FRA15A	DGIdb
CA3	DGIdb
GSC	DGIdb
DIO1	DGIdb
COL5A2	DGIdb
CHRNG	DGIdb
DFNA19	DGIdb
BRAFPS1	DGIdb
PSMA7	DGIdb
PSMC1	DGIdb
PSMD13	DGIdb
PSMD2	DGIdb
PSMD6	DGIdb
PSMA8	DGIdb
PSMD11	DGIdb
PSMB10	DGIdb
PRKCI	DGIdb
KCNB2	DGIdb
ABCC9	DGIdb
IL5	DGIdb
IFNA8	DGIdb
IFNA6	DGIdb
HBA1	DGIdb
FRA1M	DGIdb
FGF1	DGIdb
C5	DGIdb
CD79A	DGIdb
VCP	DGIdb
PLIN1	DGIdb
AMOT	DGIdb
AMELY	DGIdb
GZMB	DGIdb
NEU3	DGIdb
HIF1AN	DGIdb
ASGR2	DGIdb
CMM	DGIdb
GPR31	DGIdb
HKDC1	DGIdb
HNRNPA2B1	DGIdb
PPM1D	DGIdb
PRKAG1	DGIdb
GRK2	DGIdb
FOXO3	DGIdb
GALK1	DGIdb
CDA	DGIdb
CST3	DGIdb
CXCL2	DGIdb
FLG	DGIdb
FPGS	DGIdb
GAS6	DGIdb
H2AX	DGIdb
LIPE	DGIdb
MC2R	DGIdb
MICA	DGIdb
PPY	DGIdb
PTPN13	DGIdb
PYGM	DGIdb
PTP4A1	DGIdb
SAA1	DGIdb
SLC16A1	DGIdb
ERPL1	DGIdb
TJP1	DGIdb
TNFSF10	DGIdb
VIM	DGIdb
ERV3-1	DGIdb
C9ORF72	DGIdb
HCN1	DGIdb
NCF4	DGIdb
CXCL13	DGIdb
MIR1264	DGIdb
RUNDC3B	DGIdb
CRY1	DGIdb
SCNN1G	DGIdb
SRP19	DGIdb
DCTN1	DGIdb
CORO7	DGIdb
PLCG1	DGIdb
SLC22A7	DGIdb
PRDM16	DGIdb
SLC6A12	DGIdb
KLC3	DGIdb
ABCC5	DGIdb
HMMR	DGIdb
CNNM2	DGIdb
MOGAT2	DGIdb
GREM2	DGIdb
STX4	DGIdb
CALU	DGIdb
EPM2AIP1	DGIdb
UGT2A1	DGIdb
DNAAF9	DGIdb
BCL2L11	DGIdb
COLEC10	DGIdb
NPC1L1	DGIdb
TRAC	DGIdb
FSHMD1A	DGIdb
BMP5	DGIdb
TMEM167A	DGIdb
DLG5	DGIdb
OSGEP	DGIdb
CHN2	DGIdb
OASL	DGIdb
HNRNPH2	DGIdb
SLIT1	DGIdb
HLA-DRB4	DGIdb
SLC47A1	DGIdb
CYP26B1	DGIdb
CHRNA9	DGIdb
CD276	DGIdb
TYRP1	DGIdb
PLAT	DGIdb
NDUFA13	DGIdb
ATD	DGIdb
KIR2DL3	DGIdb
VSIR	DGIdb
CTD	DGIdb
CRABP2	DGIdb
BTG1	DGIdb
ADAM3B	DGIdb
DBI	DGIdb
CTSF	DGIdb
RHOB	DGIdb
FOLR2L	DGIdb
GPR39	DGIdb
GMPR	DGIdb
ZBTB48	DGIdb
E2F4	DGIdb
ACTG1P7	DGIdb
FRA1C	DGIdb
FRA1A	DGIdb
BCL9	DGIdb
CRYGGP	DGIdb
CYP4A11	DGIdb
DAPK1	DGIdb
ARSC2	DGIdb
ART1	DGIdb
ARSD	DGIdb
ART2P	DGIdb
GPR36	DGIdb
ALPP	DGIdb
ACTL6A	DGIdb
ACTL5	DGIdb
DPH2	DGIdb
AEBP1	DGIdb
BRS3	DGIdb
BNIP1	DGIdb
FRA2D	DGIdb
EXT2	DGIdb
HOXD10	DGIdb
CD74	DGIdb
ASCL1	DGIdb
ATP7B	DGIdb
CMKLR1	DGIdb
GGTL2	DGIdb
ESB3	DGIdb
CTNNA2	DGIdb
ERCC5	DGIdb
ERVK2	DGIdb
DCT	DGIdb
ECI1	DGIdb
HLCS	DGIdb
ATHS	DGIdb
GPM6A	DGIdb
GALNT2	DGIdb
GLUD1P5	DGIdb
FABP1	DGIdb
CSE1L	DGIdb
FABP3	DGIdb
CTBS	DGIdb
CTAA2	DGIdb
OPN1SW	DGIdb
FRA5A	DGIdb
GBA1LP	DGIdb
APRT	DGIdb
CD5L	DGIdb
GJB3	DGIdb
GAST	DGIdb
FCAR	DGIdb
HPFH2	DGIdb
TEAD4	DGIdb
FGF12	DGIdb
ARHGAP1	DGIdb
ATP5F1AP2	DGIdb
ANXA2P3	DGIdb
RICTOR	DGIdb
ATRX	DGIdb
TFF3	DGIdb
PDCD1LG2	DGIdb
PTPRF	DGIdb
BAP1	DGIdb
PTP4A3	DGIdb
KDM5C	DGIdb
SLC38A2	DGIdb
ETV4	DGIdb
TAOK1	DGIdb
KIR2DL1	DGIdb
ERCC2	DGIdb
CYP2A7	DGIdb
DLK1	DGIdb
ERVT3	DGIdb
BMP2	DGIdb
NPPA-AS1	DGIdb
DOCK3	DGIdb
PGP	DGIdb
PSMC3	DGIdb
CYBA	DGIdb
HNRNPAB	DGIdb
NR0B1	DGIdb
MCOLN3	DGIdb
HOXD13	DGIdb
FGR	DGIdb
TIRAP	DGIdb
MAP3K11	DGIdb
SYT2	DGIdb
MTNR1B	DGIdb
DBIL3	DGIdb
SLC5A6	DGIdb
NPBWR1	DGIdb
GALT	DGIdb
IKZF1	DGIdb
FBP2	DGIdb
ZEB1	DGIdb
SV2A	DGIdb
HOXD@	DGIdb
LUM	DGIdb
KCNA3	DGIdb
NQO2	DGIdb
H4F3	DGIdb
DSE	DGIdb
BCOR	DGIdb
FGF3	DGIdb
PGA5	DGIdb
LAMA5	DGIdb
LAMA4	DGIdb
COL4A3	DGIdb
COL6A6	DGIdb
COL6A1	DGIdb
FZD8	DGIdb
PRKD1	DGIdb
KCNS1	DGIdb
KCNH4	DGIdb
KCND1	DGIdb
KCNB1	DGIdb
MYL7	DGIdb
RHD	DGIdb
MCAM	DGIdb
CR1	DGIdb
TNKS2	DGIdb
TIGIT	DGIdb
IL1RL2	DGIdb
TLE3	DGIdb
SMARCA2	DGIdb
ETS2	DGIdb
ERAP2	DGIdb
UBA2	DGIdb
PRKG2	DGIdb
EIF5AP3	DGIdb
VPS35	DGIdb
RASGRP3	DGIdb
RGS12	DGIdb
PMM2	DGIdb
MAP2K3	DGIdb
BHLHE40	DGIdb
CEACAM1	DGIdb
PKN3	DGIdb
DIABLO	DGIdb
POLR3A	DGIdb
EZR	DGIdb
GALR1	DGIdb
MT1E	DGIdb
MT1IP	DGIdb
PAEP	DGIdb
SLC4A8	DGIdb
PLAUR	DGIdb
GRINA	DGIdb
SHBG	DGIdb
SOAT1	DGIdb
LEPR	DGIdb
FAM177A1	DGIdb
OR52E2	DGIdb
P3H3	DGIdb
ZNF565	DGIdb
ZNF211	DGIdb
TP53AIP1	DGIdb
PRKAB2	DGIdb
SPTA1	DGIdb
RGS5	DGIdb
ECHS1	DGIdb
WNT5B	DGIdb
NFATC2	DGIdb
RALBP1	DGIdb
CFHR4	DGIdb
CHIA	DGIdb
HLA-DPB2	DGIdb
IVL	DGIdb
CYP4F11	DGIdb
CEP68	DGIdb
RHBDF2	DGIdb
PDHB	DGIdb
PDK3	DGIdb
CLCA1	DGIdb
RAMP2	DGIdb
STING1	DGIdb
IL17F	DGIdb
IL22	DGIdb
MMUT	DGIdb
CEACAM3	DGIdb
GCH1	DGIdb
DKK1	DGIdb
CXCL1	DGIdb
ACADL	DGIdb
C1QBP	DGIdb
RHOC	DGIdb
CTSH	DGIdb
CPD	DGIdb
TNFRSF25	DGIdb
DARS1	DGIdb
DSC1	DGIdb
SLC29A2	DGIdb
FZD4	DGIdb
GRIK3	DGIdb
CD24P2	DGIdb
CD24P1	DGIdb
ACADVL	DGIdb
SLCO4C1	DGIdb
DMTN	DGIdb
LNPEP	DGIdb
GALNT3	DGIdb
AMPH	DGIdb
KAT6B	DGIdb
GDI1	DGIdb
AMYP1	DGIdb
NR2F6	DGIdb
GAS8-AS1	DGIdb
FGD1	DGIdb
EBVS1	DGIdb
ATF3	DGIdb
MECOM	DGIdb
DNA2	DGIdb
COL9A3	DGIdb
FRA3D	DGIdb
SLC36A2	DGIdb
CLTC	DGIdb
NIPSNAP2	DGIdb
PTPRM	DGIdb
STK4	DGIdb
FUSE	DGIdb
HBG2	DGIdb
GBP1	DGIdb
GK4P	DGIdb
GPC4	DGIdb
FGF13	DGIdb
DNM1	DGIdb
FRA8E	DGIdb
FH	DGIdb
MDM4	DGIdb
PTPN12	DGIdb
STAG2	DGIdb
VPS37A	DGIdb
SLC38A4	DGIdb
LATS2	DGIdb
KCNA2	DGIdb
BCAR1	DGIdb
PIP4K2A	DGIdb
MIR4278	DGIdb
AMACR	DGIdb
CCHCR1	DGIdb
HIVEP1	DGIdb
BCL2L10	DGIdb
UGT2B17	DGIdb
RAC2	DGIdb
BCL2L2	DGIdb
CA7	DGIdb
TOB1	DGIdb
PSMD3	DGIdb
APLN	DGIdb
SIGLEC8	DGIdb
PPP3CC	DGIdb
COL2A1	DGIdb
ACTR2	DGIdb
ASIP	DGIdb
ITIH3	DGIdb
E2F3	DGIdb
CAPN1	DGIdb
UGT2B4	DGIdb
C8A	DGIdb
NPIPB8	DGIdb
ALDH1A2	DGIdb
ARVCF	DGIdb
BTS1	DGIdb
PSEN2	DGIdb
ERVK-10	DGIdb
P2RY11	DGIdb
TBC1D1	DGIdb
CCNK	DGIdb
COL3A1	DGIdb
COL28A1	DGIdb
PRIM2	DGIdb
PSMC5	DGIdb
EPHB4	DGIdb
LY96	DGIdb
IFNA5	DGIdb
IFNA7	DGIdb
PPIA	DGIdb
KLB	DGIdb
GRB14	DGIdb
NOX1	DGIdb
CACNG6	DGIdb
APLNR	DGIdb
ENPP2	DGIdb
EPAS1	DGIdb
SOD1	DGIdb
CDK5R1	DGIdb
FER	DGIdb
ADCY5	DGIdb
IKBKE	DGIdb
POLG	DGIdb
ATIC	DGIdb
CNTFR	DGIdb
CDH1	DGIdb
LPO	DGIdb
NEUROD1	DGIdb
PRKAR2B	DGIdb
RAB5A	DGIdb
TGFBR3	DGIdb
TPK1	DGIdb
STXBP2	DGIdb
CYB5R1	DGIdb
MECP2	DGIdb
SLC26A8	DGIdb
NT5C1A	DGIdb
MYO1H	DGIdb
FXR2	DGIdb
FARP2	DGIdb
ETFDH	DGIdb
OPCML	DGIdb
PNPLA3	DGIdb
ZNF134	DGIdb
PIGM	DGIdb
MYLIP	DGIdb
STAT4	DGIdb
DTNBP1	DGIdb
PSORS1C2	DGIdb
TRIB2	DGIdb
CFLAR	DGIdb
NOTCH4	DGIdb
TSHZ2	DGIdb
CCL25	DGIdb
CPOX	DGIdb
OAS1	DGIdb
ARID5B	DGIdb
TRAT1	DGIdb
EPM2A	DGIdb
MEGF11	DGIdb
EXO1	DGIdb
TCL1A	DGIdb
CENPE	DGIdb
SELL	DGIdb
CRAT	DGIdb
EBM	DGIdb
PPCDC	DGIdb
LIFR	DGIdb
CYP11B2	DGIdb
KCNN3	DGIdb
RPL34	DGIdb
KCNJ10	DGIdb
ADH5	DGIdb
MERTK	DGIdb
CASP14	DGIdb
ITGA2	DGIdb
MAS1	DGIdb
CFD	DGIdb
CD6	DGIdb
FFAR2	DGIdb
PREP	DGIdb
TPP1	DGIdb
COL1AR	DGIdb
HELLS	DGIdb
UBE2K	DGIdb
HNRNPH1	DGIdb
ARHGDIA	DGIdb
FRA1D	DGIdb
FNTA	DGIdb
GLG1	DGIdb
CDK19	DGIdb
COX6A1	DGIdb
COX7A2P2	DGIdb
SLC1A7	DGIdb
ART3	DGIdb
EPHA5	DGIdb
BPI	DGIdb
ESAT	DGIdb
ESD	DGIdb
GADD45A	DGIdb
ATP12A	DGIdb
SLC15A3	DGIdb
CSTB	DGIdb
GOLGA1	DGIdb
ACSL1	DGIdb
GOLGA2	DGIdb
HOXA5	DGIdb
FKBP1AP3	DGIdb
TSC2	DGIdb
RASA1	DGIdb
RIT1	DGIdb
FLCN	DGIdb
KCNG3	DGIdb
KCNN1	DGIdb
DGKA	DGIdb
PPAT	DGIdb
MAG	DGIdb
CD83	DGIdb
HLA-DMB	DGIdb
IL21	DGIdb
CREBL2	DGIdb
PLA2G6	DGIdb
PRKACB	DGIdb
IL22RA1	DGIdb
FPR3	DGIdb
PI4KA	DGIdb
MYL2	DGIdb
LAMA2	DGIdb
KCNG2	DGIdb
BRD10	DGIdb
GADD45G	DGIdb
EGLN3	DGIdb
KIR2DS2	DGIdb
MYH7	DGIdb
SLC12A4	DGIdb
COX5BP1	DGIdb
SIRT6	DGIdb
GSTO1	DGIdb
OXT	DGIdb
FRA7J	DGIdb
STAG3	DGIdb
PLA2G5	DGIdb
ATF2	DGIdb
FRA2E	DGIdb
GZMA	DGIdb
POLR3G	DGIdb
CLU	DGIdb
SH2B3	DGIdb
LAMB1	DGIdb
LAMC3	DGIdb
LAMB4	DGIdb
PSMD10	DGIdb
KCNK10	DGIdb
KCNC3	DGIdb
MYH6	DGIdb
MYH7B	DGIdb
TNKS	DGIdb
KDM1A	DGIdb
IL1RL1	DGIdb
NR2F2	DGIdb
POLL	DGIdb
PHOSPHO1	DGIdb
P2RY4	DGIdb
ADCY9	DGIdb
PHKG2	DGIdb
LRRC59	DGIdb
TCIM	DGIdb
CARD9	DGIdb
CDKN2D	DGIdb
DHPS	DGIdb
EIF2AK2	DGIdb
FADD	DGIdb
GHRH	DGIdb
INHBE	DGIdb
KCNJ3	DGIdb
JUND	DGIdb
KRT18	DGIdb
MIR125B2	DGIdb
PDHX	DGIdb
RLN2	DGIdb
RNF112	DGIdb
WWOX	DGIdb
SH2D1A	DGIdb
RAB27A	DGIdb
FCGR2A	DGIdb
CYP2A7P1	DGIdb
ARHGAP12	DGIdb
AOX1	DGIdb
CARD16	DGIdb
ATP2A1	DGIdb
XRCC3	DGIdb
FIP1L1	DGIdb
PCYT1A	DGIdb
NLGN1	DGIdb
CMPK1	DGIdb
YAP1	DGIdb
TWIST1	DGIdb
CYP2R1	DGIdb
IFIT1	DGIdb
TAOK3	DGIdb
PDK4	DGIdb
CDH2	DGIdb
FBP1	DGIdb
PGA3	DGIdb
PLA2G10	DGIdb
LIPF	DGIdb
PTPA	DGIdb
FSCN1	DGIdb
PDE8B	DGIdb
PPP1CB	DGIdb
ANGPTL3	DGIdb
KCNT2	DGIdb
SCT	DGIdb
NPTX2	DGIdb
IFNL1	DGIdb
PLD2	DGIdb
GUCY2D	DGIdb
NEDD8	DGIdb
CD52	DGIdb
EEF1B2P2	DGIdb
GPR21	DGIdb
GPR22	DGIdb
EEGV1	DGIdb
DNMT3B	DGIdb
FRA20A	DGIdb
ELF2	DGIdb
HRG	DGIdb
FNZ	DGIdb
EIF4EP1	DGIdb
EIF4EBP2	DGIdb
EIF4G2	DGIdb
ENO3	DGIdb
CLDN3	DGIdb
COX5BP3	DGIdb
COX4I1	DGIdb
CRIP2	DGIdb
FRA1F	DGIdb
ALS3	DGIdb
DLST	DGIdb
HOXC5	DGIdb
ACTG1P10	DGIdb
ATP5MC2P1	DGIdb
ATP5PO	DGIdb
STX2	DGIdb
GAMT	DGIdb
CTNS	DGIdb
HK3	DGIdb
FRA4C	DGIdb
COL8A2	DGIdb
COL9A1	DGIdb
COL13A1	DGIdb
DVL2	DGIdb
FCN1	DGIdb
CTSLP2	DGIdb
HPCAL1	DGIdb
NR2C2	DGIdb
ATP5A2	DGIdb
E2F2	DGIdb
FRA9B	DGIdb
FUT6	DGIdb
MYD88	DGIdb
ASNS	DGIdb
SOX10	DGIdb
PREX2	DGIdb
TNFRSF12A	DGIdb
IFNA4	DGIdb
IFNA16	DGIdb
NECTIN4	DGIdb
NPR3	DGIdb
BBOX1	DGIdb
GGPS1	DGIdb
SLC6A15	DGIdb
CYTH2	DGIdb
HNRNPA1	DGIdb
PRRT2	DGIdb
INHBA	DGIdb
ETV6	DGIdb
FCGR1A	DGIdb
TAC3	DGIdb
B4GALT2	DGIdb
PRF1	DGIdb
JMJD8	DGIdb
GRAMD1B	DGIdb
SLC17A3	DGIdb
SCARB1	DGIdb
OR52J2P	DGIdb
RRP7A	DGIdb
ZDHHC7	DGIdb
TAPBP	DGIdb
YBX1	DGIdb
KRTAP10-4	DGIdb
GALNT14	DGIdb
PPOX	DGIdb
SLC22A16	DGIdb
PPP2R5D	DGIdb
TSPEAR	DGIdb
RFK	DGIdb
GLDC	DGIdb
IL12RB2	DGIdb
EPRS1	DGIdb
VAMP2	DGIdb
FLNA	DGIdb
SLC44A4	DGIdb
NPTXR	DGIdb
MARCKS	DGIdb
AHSA1	DGIdb
HAMP	DGIdb
KIF5B	DGIdb
ROR1	DGIdb
FRA10E	DGIdb
FRA17A	DGIdb
FKBP2	DGIdb
CCDC6	DGIdb
GMFB	DGIdb
ACTBP5	DGIdb
AFF2	DGIdb
RPS15	DGIdb
RPS6	DGIdb
RPS2	DGIdb
POLR3D	DGIdb
RPS3	DGIdb
RPS18	DGIdb
ASD1	DGIdb
E2F3P1	DGIdb
RPL38	DGIdb
GGT3P	DGIdb
RPLP1	DGIdb
GGTA1	DGIdb
RPL36	DGIdb
FRA2K	DGIdb
FRA6D	DGIdb
CMTX3	DGIdb
CTBP1	DGIdb
FANCA	DGIdb
HOXA6	DGIdb
GOLGA3	DGIdb
PIGW	DGIdb
SF3B3	DGIdb
RHEB	DGIdb
RPS8	DGIdb
CSNK1E	DGIdb
NRG2	DGIdb
MIR4268	DGIdb
GUCA2B	DGIdb
ACO1	DGIdb
DEPTOR	DGIdb
RPL11	DGIdb
RPS17	DGIdb
LRRC32	DGIdb
CYP3A51P	DGIdb
UOX	DGIdb
SLCO3A1	DGIdb
PSME3	DGIdb
E2F5	DGIdb
TNFRSF9	DGIdb
GPT	DGIdb
PISD	DGIdb
RPL35A	DGIdb
CSMD1	DGIdb
PGAP6	DGIdb
FKBP1AP4	DGIdb
CAMK1	DGIdb
NBEA	DGIdb
SLC15A1	DGIdb
RPL29	DGIdb
AHRR	DGIdb
RPL3	DGIdb
FRV1	DGIdb
ATP1A2	DGIdb
ATP1B2	DGIdb
IL9	DGIdb
PRDX1	DGIdb
RPS9	DGIdb
RPL8	DGIdb
RPS28	DGIdb
RPL30	DGIdb
RPL37A	DGIdb
RPS11	DGIdb
RPL9P8	DGIdb
RPL27	DGIdb
RPS21	DGIdb
RPL18A	DGIdb
RPL26	DGIdb
RPS7	DGIdb
RPL21	DGIdb
RPL6	DGIdb
RPL4	DGIdb
RPL27A	DGIdb
GRM4	DGIdb
UTRN	DGIdb
RGMA	DGIdb
TNFSF14	DGIdb
FANCD2	DGIdb
CLK3	DGIdb
TSSK2	DGIdb
CDC37	DGIdb
PADI1	DGIdb
CLCN3	DGIdb
F12	DGIdb
POLR2A	DGIdb
CLK1	DGIdb
NLRP3	DGIdb
MAPKAP1	DGIdb
PDGFC	DGIdb
ADSS2	DGIdb
CEACAM6	DGIdb
DEFA1	DGIdb
GPD2	DGIdb
INPP1	DGIdb
JAG1	DGIdb
KRT17	DGIdb
MT1H	DGIdb
NPPA	DGIdb
SFTPB	DGIdb
SMTN	DGIdb
TBP	DGIdb
THBD	DGIdb
FMO1	DGIdb
ZNF613	DGIdb
BAG6	DGIdb
PRSS53	DGIdb
CFAP44	DGIdb
CYP4B1	DGIdb
TAAR6	DGIdb
TRDN	DGIdb
ITPA	DGIdb
CSRNP3	DGIdb
MIR4481	DGIdb
TBC1D32	DGIdb
ZNF542P	DGIdb
DCTD	DGIdb
GSTM5	DGIdb
SLC22A9	DGIdb
CELSR2	DGIdb
SREBF1	DGIdb
CXCL5	DGIdb
SFRP5	DGIdb
EIF4E2	DGIdb
DSCAM	DGIdb
MLN	DGIdb
SEMA3C	DGIdb
KCNJ6	DGIdb
ADCK1	DGIdb
MAGEA12	DGIdb
EGFL7	DGIdb
IPO8	DGIdb
CCNG1	DGIdb
PYY	DGIdb
CYP51A1	DGIdb
MC5R	DGIdb
ADAMTS4	DGIdb
CTH	DGIdb
IL24	DGIdb
CARTPT	DGIdb
GRPR	DGIdb
CRYGD	DGIdb
P2RX4	DGIdb
CTSA	DGIdb
DCPS	DGIdb
CLEC12A	DGIdb
DRAM1	DGIdb
FDXR	DGIdb
RSPO1	DGIdb
KCNN4	DGIdb
CYP46A1	DGIdb
REG1A	DGIdb
S100B	DGIdb
RPS6KA2	DGIdb
RPS27	DGIdb
TMSB10	DGIdb
TICAM1	DGIdb
XRCC5	DGIdb
KDM6A	DGIdb
ABCB5	DGIdb
ANKK1	DGIdb
SLC6A5	DGIdb
GSS	DGIdb
PGM1	DGIdb
BRD7	DGIdb
EFNB3	DGIdb
COX5B	DGIdb
CLDN7	DGIdb
CCNH	DGIdb
DSC3	DGIdb
H2BC5	DGIdb
ENO1P1	DGIdb
PHOX2A	DGIdb
ARL2	DGIdb
GPR32	DGIdb
ADARB1	DGIdb
ITPR1	DGIdb
MYLK4	DGIdb
PTTG1	DGIdb
DUSP5	DGIdb
CD84	DGIdb
GRK6P1	DGIdb
HOXC@	DGIdb
COL8A1	DGIdb
EZH1	DGIdb
GPR34	DGIdb
PCSK5	DGIdb
SRPRB	DGIdb
STK10	DGIdb
CARS1	DGIdb
MYOCD	DGIdb
GCF1	DGIdb
TMX2	DGIdb
CRLF2	DGIdb
MAFK	DGIdb
GRIK1-AS2	DGIdb
CADM2	DGIdb
IAPP	DGIdb
KIRREL2	DGIdb
NKAIN3	DGIdb
ACY3	DGIdb
PECAM1	DGIdb
RRP1B	DGIdb
SLC25A31	DGIdb
RPS14	DGIdb
H19	DGIdb
TNFRSF10A	DGIdb
CEACAM7	DGIdb
CAPG	DGIdb
GLC3B	DGIdb
RPL18	DGIdb
ANKRD30B	DGIdb
GAPDHL17	DGIdb
ARL3	DGIdb
RPL36A	DGIdb
LRP1	DGIdb
SEMA4D	DGIdb
DNTT	DGIdb
TMEM258	DGIdb
GRN	DGIdb
RAD51	DGIdb
DAG1	DGIdb
SLC14A2	DGIdb
