signature	direction	gene
RRA744_pan_dental	up	CMPK2
RRA744_pan_dental	up	PFN1P1
RRA744_pan_dental	up	FRMD4B
RRA744_pan_dental	up	ALDOC
RRA744_pan_dental	up	DDX58
RRA744_pan_dental	up	RGS4
RRA744_pan_dental	up	POP5
RRA744_pan_dental	up	MGP
RRA744_pan_dental	up	KLF15
RRA744_pan_dental	up	TIMP1
RRA744_pan_dental	up	PLSCR1
RRA744_pan_dental	up	F10
RRA744_pan_dental	up	DBNDD1
RRA744_pan_dental	up	FAM20A
RRA744_pan_dental	up	MIF
RRA744_pan_dental	up	NANOS1
RRA744_pan_dental	up	RAC2
RRA744_pan_dental	up	CLDN11
RRA744_pan_dental	up	UXT
RRA744_pan_dental	up	CLCF1
RRA744_pan_dental	up	MLKL
RRA744_pan_dental	up	FOXC1
RRA744_pan_dental	up	KRT19
RRA744_pan_dental	up	CD14
RRA744_pan_dental	up	ENPP2
RRA744_pan_dental	up	MT1E
RRA744_pan_dental	up	RCAN1
RRA744_pan_dental	up	ADM
RRA744_pan_dental	up	NID2
RRA744_pan_dental	up	SNED1
RRA744_pan_dental	up	MFSD12
RRA744_pan_dental	up	SLC44A1
RRA744_pan_dental	up	PARP9
RRA744_pan_dental	up	PDK3
RRA744_pan_dental	up	GADD45A
RRA744_pan_dental	up	HELZ2
RRA744_pan_dental	up	MYEOV2
RRA744_pan_dental	up	SCARA3
RRA744_pan_dental	up	LYPD1
RRA744_pan_dental	up	RPL37A
RRA744_pan_dental	up	RPL36
RRA744_pan_dental	up	C6orf48
RRA744_pan_dental	up	ADAMTS1
RRA744_pan_dental	up	OASL
RRA744_pan_dental	up	BST2
RRA744_pan_dental	up	MME
RRA744_pan_dental	up	PLAG1
RRA744_pan_dental	up	LINC00622
RRA744_pan_dental	up	MAOA
RRA744_pan_dental	up	RPL38
RRA744_pan_dental	up	S100A16
RRA744_pan_dental	up	ARID5A
RRA744_pan_dental	up	IL32
RRA744_pan_dental	up	TRHDE
RRA744_pan_dental	up	WISP1
RRA744_pan_dental	up	RORB
RRA744_pan_dental	up	SIX2
RRA744_pan_dental	up	RPS20
RRA744_pan_dental	up	AFAP1
RRA744_pan_dental	up	MFSD2B
RRA744_pan_dental	up	SGCG
RRA744_pan_dental	up	EBF1
RRA744_pan_dental	up	FTH1P2
RRA744_pan_dental	up	WNT11
RRA744_pan_dental	up	GPX3
RRA744_pan_dental	up	ICAM1
RRA744_pan_dental	up	NSG1
RRA744_pan_dental	up	LDLRAD3
RRA744_pan_dental	up	SLC3A2
RRA744_pan_dental	up	C19orf10
RRA744_pan_dental	up	ANXA3
RRA744_pan_dental	up	CRABP2
RRA744_pan_dental	up	QRICH2
RRA744_pan_dental	up	ZNF185
RRA744_pan_dental	up	RCAN2
RRA744_pan_dental	up	C10orf10
RRA744_pan_dental	up	IL1RN
RRA744_pan_dental	up	DHRS2
RRA744_pan_dental	up	CHST15
RRA744_pan_dental	up	NUDT4P1
RRA744_pan_dental	up	ALX4
RRA744_pan_dental	up	ATP5J2
RRA744_pan_dental	up	ROBO2
RRA744_pan_dental	up	ABCB1
RRA744_pan_dental	up	KLHL41
RRA744_pan_dental	up	MAGOH
RRA744_pan_dental	up	DFNB31
RRA744_pan_dental	up	DUSP23
RRA744_pan_dental	up	NTRK2
RRA744_pan_dental	up	PTGER4
RRA744_pan_dental	up	TCEAL7
RRA744_pan_dental	up	ECE2
RRA744_pan_dental	up	PVRL3
RRA744_pan_dental	up	FENDRR
RRA744_pan_dental	up	MRPS2
RRA744_pan_dental	up	C8orf34
RRA744_pan_dental	up	CEBPB
RRA744_pan_dental	up	PRDX5
RRA744_pan_dental	up	HS3ST3B1
RRA744_pan_dental	up	KIAA0040
RRA744_pan_dental	up	OLFML1
RRA744_pan_dental	up	PARP12
RRA744_pan_dental	down	SIPA1L2
RRA744_pan_dental	down	RGMB
RRA744_pan_dental	down	ELN
RRA744_pan_dental	down	WNT5A
RRA744_pan_dental	down	ALPK2
RRA744_pan_dental	down	NRG1
RRA744_pan_dental	down	SERPINB2
RRA744_pan_dental	down	GREM2
RRA744_pan_dental	down	SH3D19
RRA744_pan_dental	down	SEMA6D
RRA744_pan_dental	down	CXCL12
RRA744_pan_dental	down	ZEB2
RRA744_pan_dental	down	LAMA3
RRA744_pan_dental	down	KLF12
RRA744_pan_dental	down	SMURF2
RRA744_pan_dental	down	PSD3
RRA744_pan_dental	down	RALGPS2
RRA744_pan_dental	down	ANKRD29
RRA744_pan_dental	down	PRKCE
RRA744_pan_dental	down	ADRA1D
