atlas	signature	compartment	score_z
GSE295106_mouse_BRONJ	GO_osteoblast_differentiation	Macrophage	0.006
GSE295106_mouse_BRONJ	GO_osteoblast_differentiation	Neutrophil	-0.67
GSE295106_mouse_BRONJ	GO_osteoblast_differentiation	Osteo_MSC	2.119
GSE295106_mouse_BRONJ	GO_osteoblast_differentiation	Osteoclast	-0.49
GSE295106_mouse_BRONJ	GO_osteoblast_differentiation	Tcell	0.024
GSE295106_mouse_BRONJ	GO_ossification	Bcell	-0.181
GSE295106_mouse_BRONJ	GO_ossification	Endothelial	0.377
GSE295106_mouse_BRONJ	GO_ossification	Erythroid	-1.299
GSE295106_mouse_BRONJ	GO_ossification	Macrophage	0.037
GSE295106_mouse_BRONJ	GO_ossification	Neutrophil	-0.623
GSE295106_mouse_BRONJ	GO_ossification	Osteo_MSC	2.129
GSE295106_mouse_BRONJ	GO_ossification	Osteoclast	-0.463
GSE295106_mouse_BRONJ	GO_ossification	Tcell	0.023
GSE295106_mouse_BRONJ	GO_biomineral_tissue_dev	Bcell	-0.303
GSE295106_mouse_BRONJ	GO_biomineral_tissue_dev	Endothelial	0.234
GSE295106_mouse_BRONJ	GO_biomineral_tissue_dev	Erythroid	-1.195
GSE295106_mouse_BRONJ	GO_biomineral_tissue_dev	Macrophage	-0.063
GSE295106_mouse_BRONJ	GO_biomineral_tissue_dev	Neutrophil	-0.438
GSE295106_mouse_BRONJ	GO_biomineral_tissue_dev	Osteo_MSC	2.252
GSE295106_mouse_BRONJ	GO_biomineral_tissue_dev	Osteoclast	-0.379
GSE295106_mouse_BRONJ	GO_biomineral_tissue_dev	Tcell	-0.108
GSE295106_mouse_BRONJ	GO_reg_bone_mineralization	Bcell	-0.405
GSE295106_mouse_BRONJ	GO_reg_bone_mineralization	Endothelial	0.26
GSE295106_mouse_BRONJ	GO_reg_bone_mineralization	Erythroid	-1.235
GSE295106_mouse_BRONJ	GO_reg_bone_mineralization	Macrophage	-0.053
GSE295106_mouse_BRONJ	GO_reg_bone_mineralization	Neutrophil	-0.357
GSE295106_mouse_BRONJ	GO_reg_bone_mineralization	Osteo_MSC	2.228
GSE295106_mouse_BRONJ	GO_reg_bone_mineralization	Osteoclast	-0.382
GSE295106_mouse_BRONJ	GO_reg_bone_mineralization	Tcell	-0.054
GSE295106_mouse_BRONJ	EX_SCAP_simvastatin_GSE286540	Bcell	-0.956
GSE295106_mouse_BRONJ	EX_SCAP_simvastatin_GSE286540	Endothelial	0.196
GSE295106_mouse_BRONJ	EX_SCAP_simvastatin_GSE286540	Erythroid	-0.279
GSE295106_mouse_BRONJ	EX_SCAP_simvastatin_GSE286540	Macrophage	-0.95
GSE295106_mouse_BRONJ	EX_SCAP_simvastatin_GSE286540	Neutrophil	0.013
GSE295106_mouse_BRONJ	EX_SCAP_simvastatin_GSE286540	Osteo_MSC	2.189
GSE295106_mouse_BRONJ	EX_SCAP_simvastatin_GSE286540	Osteoclast	-0.463
GSE295106_mouse_BRONJ	EX_SCAP_simvastatin_GSE286540	Tcell	0.249
GSE295106_mouse_BRONJ	EX_DPSC_cannabidiol_GSE271641	Bcell	0.726
GSE295106_mouse_BRONJ	EX_DPSC_cannabidiol_GSE271641	Endothelial	0.082
GSE295106_mouse_BRONJ	EX_DPSC_cannabidiol_GSE271641	Erythroid	0.576
GSE295106_mouse_BRONJ	EX_DPSC_cannabidiol_GSE271641	Macrophage	-0.403
GSE295106_mouse_BRONJ	EX_DPSC_cannabidiol_GSE271641	Neutrophil	0.368
GSE295106_mouse_BRONJ	EX_DPSC_cannabidiol_GSE271641	Osteo_MSC	0.162
GSE295106_mouse_BRONJ	EX_DPSC_cannabidiol_GSE271641	Osteoclast	0.773
GSE295106_mouse_BRONJ	EX_DPSC_cannabidiol_GSE271641	Tcell	-2.283
GSE295106_mouse_BRONJ	EX_PDLSC_CALD1kd_GSE236009	Bcell	0.421
GSE295106_mouse_BRONJ	EX_PDLSC_CALD1kd_GSE236009	Endothelial	0.093
GSE295106_mouse_BRONJ	EX_PDLSC_CALD1kd_GSE236009	Erythroid	0.24
GSE295106_mouse_BRONJ	EX_PDLSC_CALD1kd_GSE236009	Macrophage	0.591
GSE295106_mouse_BRONJ	EX_PDLSC_CALD1kd_GSE236009	Neutrophil	0.518
GSE295106_mouse_BRONJ	EX_PDLSC_CALD1kd_GSE236009	Osteo_MSC	-2.441
GSE295106_mouse_BRONJ	EX_PDLSC_CALD1kd_GSE236009	Osteoclast	0.207
GSE295106_mouse_BRONJ	EX_PDLSC_CALD1kd_GSE236009	Tcell	0.371
GSE295106_mouse_BRONJ	POSctrl_osteo_markers	Bcell	-0.417
GSE295106_mouse_BRONJ	POSctrl_osteo_markers	Endothelial	-0.178
GSE295106_mouse_BRONJ	POSctrl_osteo_markers	Erythroid	-0.523
GSE295106_mouse_BRONJ	POSctrl_osteo_markers	Macrophage	-0.32
GSE295106_mouse_BRONJ	POSctrl_osteo_markers	Neutrophil	-0.378
GSE295106_mouse_BRONJ	POSctrl_osteo_markers	Osteo_MSC	2.462
GSE295106_mouse_BRONJ	POSctrl_osteo_markers	Osteoclast	-0.384
GSE295106_mouse_BRONJ	POSctrl_osteo_markers	Tcell	-0.261
GSE269255_mouse_ORNJ	RRA744_pan_dental	Bcell	0.457
GSE269255_mouse_ORNJ	RRA744_pan_dental	Endothelial	-0.119
GSE269255_mouse_ORNJ	RRA744_pan_dental	Epithelial	-1.84
GSE269255_mouse_ORNJ	RRA744_pan_dental	Erythroid	-0.737
GSE269255_mouse_ORNJ	RRA744_pan_dental	Mesenchymal_osteo	0.404
GSE269255_mouse_ORNJ	RRA744_pan_dental	Myeloid	0.948
GSE269255_mouse_ORNJ	RRA744_pan_dental	Tcell	0.887
GSE269255_mouse_ORNJ	DE_PDLSC_GSE99958	Bcell	-0.364
GSE269255_mouse_ORNJ	DE_PDLSC_GSE99958	Endothelial	0.304
GSE269255_mouse_ORNJ	DE_PDLSC_GSE99958	Epithelial	0.846
GSE269255_mouse_ORNJ	DE_PDLSC_GSE99958	Erythroid	-1.922
GSE269255_mouse_ORNJ	DE_PDLSC_GSE99958	Mesenchymal_osteo	1.097
GSE269255_mouse_ORNJ	DE_PDLSC_GSE99958	Myeloid	-0.263
GSE269255_mouse_ORNJ	DE_PDLSC_GSE99958	Tcell	0.302
GSE269255_mouse_ORNJ	DE_DPSC_GSE226347	Bcell	0.826
GSE269255_mouse_ORNJ	DE_DPSC_GSE226347	Endothelial	-1.07
GSE269255_mouse_ORNJ	DE_DPSC_GSE226347	Epithelial	-1.404
GSE269255_mouse_ORNJ	DE_DPSC_GSE226347	Erythroid	0.823
GSE269255_mouse_ORNJ	DE_DPSC_GSE226347	Mesenchymal_osteo	-0.6
GSE269255_mouse_ORNJ	DE_DPSC_GSE226347	Myeloid	0.986
GSE269255_mouse_ORNJ	DE_DPSC_GSE226347	Tcell	0.438
GSE269255_mouse_ORNJ	DE_GSC_GSE226347	Bcell	-0.285
GSE269255_mouse_ORNJ	DE_GSC_GSE226347	Endothelial	-0.647
GSE269255_mouse_ORNJ	DE_GSC_GSE226347	Epithelial	0.337
GSE269255_mouse_ORNJ	DE_GSC_GSE226347	Erythroid	-0.641
GSE269255_mouse_ORNJ	DE_GSC_GSE226347	Mesenchymal_osteo	2.132
GSE269255_mouse_ORNJ	DE_GSC_GSE226347	Myeloid	-0.571
GSE269255_mouse_ORNJ	DE_GSC_GSE226347	Tcell	-0.325
GSE269255_mouse_ORNJ	DE_SHED_GSE266257	Bcell	-0.337
GSE269255_mouse_ORNJ	DE_SHED_GSE266257	Endothelial	-0.595
GSE269255_mouse_ORNJ	DE_SHED_GSE266257	Epithelial	-1.77
GSE269255_mouse_ORNJ	DE_SHED_GSE266257	Erythroid	0.464
GSE269255_mouse_ORNJ	DE_SHED_GSE266257	Mesenchymal_osteo	0.972
GSE269255_mouse_ORNJ	DE_SHED_GSE266257	Myeloid	1.102
GSE269255_mouse_ORNJ	DE_SHED_GSE266257	Tcell	0.164
GSE269255_mouse_ORNJ	DE_DFC_GSE49007	Bcell	-0.24
GSE269255_mouse_ORNJ	DE_DFC_GSE49007	Endothelial	-0.513
GSE269255_mouse_ORNJ	DE_DFC_GSE49007	Epithelial	-0.747
GSE269255_mouse_ORNJ	DE_DFC_GSE49007	Erythroid	0.341
GSE269255_mouse_ORNJ	DE_DFC_GSE49007	Mesenchymal_osteo	2.103
GSE269255_mouse_ORNJ	DE_DFC_GSE49007	Myeloid	-0.735
GSE269255_mouse_ORNJ	DE_DFC_GSE49007	Tcell	-0.209
GSE269255_mouse_ORNJ	GO_osteoblast_differentiation	Bcell	-0.541
GSE269255_mouse_ORNJ	GO_osteoblast_differentiation	Endothelial	-0.438
GSE269255_mouse_ORNJ	GO_osteoblast_differentiation	Epithelial	1.266
GSE269255_mouse_ORNJ	GO_osteoblast_differentiation	Erythroid	-0.797
GSE269255_mouse_ORNJ	GO_osteoblast_differentiation	Mesenchymal_osteo	1.627
GSE269255_mouse_ORNJ	GO_osteoblast_differentiation	Myeloid	-0.601
GSE269255_mouse_ORNJ	GO_osteoblast_differentiation	Tcell	-0.516
GSE269255_mouse_ORNJ	GO_ossification	Bcell	-0.547
GSE269255_mouse_ORNJ	GO_ossification	Endothelial	-0.411
GSE269255_mouse_ORNJ	GO_ossification	Epithelial	1.094
GSE269255_mouse_ORNJ	GO_ossification	Erythroid	-0.832
GSE269255_mouse_ORNJ	GO_ossification	Mesenchymal_osteo	1.755
GSE269255_mouse_ORNJ	GO_ossification	Myeloid	-0.546
GSE269255_mouse_ORNJ	GO_ossification	Tcell	-0.513
GSE269255_mouse_ORNJ	GO_biomineral_tissue_dev	Bcell	-0.586
GSE269255_mouse_ORNJ	GO_biomineral_tissue_dev	Endothelial	-0.448
GSE269255_mouse_ORNJ	GO_biomineral_tissue_dev	Epithelial	1.066
GSE269255_mouse_ORNJ	GO_biomineral_tissue_dev	Erythroid	-0.782
