atlas	organism	signature	source_type	n_up_used	n_down_used	osteo_compartment	osteo_score_z	osteo_rank	n_compartments	top_compartment	transferability_z	p_localizes_more	p_localizes_less	null_mean	null_sd
GSE295106_mouse_BRONJ	mouse	RRA744_pan_dental	own_meta	298	358	Osteo_MSC	0.251	4	8	Osteoclast	0.189	0.45	0.551	-0.002	1.337
GSE295106_mouse_BRONJ	mouse	DE_PDLSC_GSE99958	single_source_DE	195	126	Osteo_MSC	1.602	1	8	Osteo_MSC	1.164	0.16	0.84	0.053	1.33
GSE295106_mouse_BRONJ	mouse	DE_DPSC_GSE226347	single_source_DE	15	18	Osteo_MSC	-0.737	6	8	Erythroid	-0.556	0.662	0.338	-0.015	1.299
GSE295106_mouse_BRONJ	mouse	DE_GSC_GSE226347	single_source_DE	10	12	Osteo_MSC	1.223	1	8	Osteo_MSC	0.97	0.222	0.779	-0.064	1.327
GSE295106_mouse_BRONJ	mouse	DE_SHED_GSE266257	single_source_DE	207	214	Osteo_MSC	0.682	3	8	Osteoclast	0.534	0.353	0.648	-0.025	1.323
GSE295106_mouse_BRONJ	mouse	DE_DFC_GSE49007	single_source_DE	223	118	Osteo_MSC	2.059	1	8	Osteo_MSC	1.574	0.0365	0.964	-0.009	1.313
GSE295106_mouse_BRONJ	mouse	GO_osteoblast_differentiation	literature_GO	182	0	Osteo_MSC	2.119	1	8	Osteo_MSC	5.167	5e-04	1	1.145	0.189
GSE295106_mouse_BRONJ	mouse	GO_ossification	literature_GO	313	0	Osteo_MSC	2.129	1	8	Osteo_MSC	6.829	5e-04	1	1.156	0.143
GSE295106_mouse_BRONJ	mouse	GO_biomineral_tissue_dev	literature_GO	132	0	Osteo_MSC	2.252	1	8	Osteo_MSC	5.051	5e-04	1	1.143	0.22
GSE295106_mouse_BRONJ	mouse	GO_reg_bone_mineralization	literature_GO	67	0	Osteo_MSC	2.228	1	8	Osteo_MSC	3.59	5e-04	1	1.131	0.305
GSE295106_mouse_BRONJ	mouse	EX_SCAP_simvastatin_GSE286540	excluded_perturbation_DE	203	212	Osteo_MSC	2.189	1	8	Osteo_MSC	1.707	0.0185	0.982	-0.04	1.306
GSE295106_mouse_BRONJ	mouse	EX_DPSC_cannabidiol_GSE271641	excluded_perturbation_DE	7	8	Osteo_MSC	0.162	5	8	Osteoclast	0.139	0.452	0.549	-0.019	1.298
GSE295106_mouse_BRONJ	mouse	EX_PDLSC_CALD1kd_GSE236009	excluded_perturbation_DE	16	16	Osteo_MSC	-2.441	8	8	Macrophage	-1.841	0.999	0.0015	0.018	1.336
GSE295106_mouse_BRONJ	mouse	POSctrl_osteo_markers	positive_control	9	0	Osteo_MSC	2.462	1	8	Osteo_MSC	2.147	5e-04	1	0.987	0.687
GSE269255_mouse_ORNJ	mouse	RRA744_pan_dental	own_meta	298	349	Mesenchymal_osteo	0.404	4	7	Myeloid	0.329	0.386	0.614	0.039	1.11
GSE269255_mouse_ORNJ	mouse	DE_PDLSC_GSE99958	single_source_DE	196	125	Mesenchymal_osteo	1.097	1	7	Mesenchymal_osteo	0.984	0.185	0.815	0.032	1.083
GSE269255_mouse_ORNJ	mouse	DE_DPSC_GSE226347	single_source_DE	15	18	Mesenchymal_osteo	-0.6	5	7	Myeloid	-0.556	0.677	0.323	0.04	1.15
GSE269255_mouse_ORNJ	mouse	DE_GSC_GSE226347	single_source_DE	10	12	Mesenchymal_osteo	2.132	1	7	Mesenchymal_osteo	1.927	0.008	0.993	-0.029	1.121
GSE269255_mouse_ORNJ	mouse	DE_SHED_GSE266257	single_source_DE	203	210	Mesenchymal_osteo	0.972	2	7	Myeloid	0.899	0.216	0.784	0.003	1.077
GSE269255_mouse_ORNJ	mouse	DE_DFC_GSE49007	single_source_DE	221	113	Mesenchymal_osteo	2.103	1	7	Mesenchymal_osteo	1.896	0.008	0.993	-0.006	1.112
GSE269255_mouse_ORNJ	mouse	GO_osteoblast_differentiation	literature_GO	180	0	Mesenchymal_osteo	1.627	1	7	Mesenchymal_osteo	1.997	0.0155	0.985	1.185	0.222
GSE269255_mouse_ORNJ	mouse	GO_ossification	literature_GO	306	0	Mesenchymal_osteo	1.755	1	7	Mesenchymal_osteo	3.336	5e-04	1	1.183	0.171
GSE269255_mouse_ORNJ	mouse	GO_biomineral_tissue_dev	literature_GO	128	0	Mesenchymal_osteo	1.78	1	7	Mesenchymal_osteo	2.295	0.0065	0.994	1.186	0.259
GSE269255_mouse_ORNJ	mouse	GO_reg_bone_mineralization	literature_GO	64	0	Mesenchymal_osteo	1.929	1	7	Mesenchymal_osteo	2.122	0.0045	0.996	1.185	0.351
GSE269255_mouse_ORNJ	mouse	EX_SCAP_simvastatin_GSE286540	excluded_perturbation_DE	206	212	Mesenchymal_osteo	1.455	1	7	Mesenchymal_osteo	1.315	0.114	0.887	-0.001	1.108
GSE269255_mouse_ORNJ	mouse	EX_DPSC_cannabidiol_GSE271641	excluded_perturbation_DE	5	8	Mesenchymal_osteo	1.054	1	7	Mesenchymal_osteo	0.911	0.224	0.776	-0.014	1.172
GSE269255_mouse_ORNJ	mouse	EX_PDLSC_CALD1kd_GSE236009	excluded_perturbation_DE	16	16	Mesenchymal_osteo	-1.616	7	7	Erythroid	-1.406	0.904	0.097	-0.013	1.14
GSE269255_mouse_ORNJ	mouse	POSctrl_osteo_markers	positive_control	9	0	Mesenchymal_osteo	2.236	1	7	Mesenchymal_osteo	1.759	0.001	1	1.037	0.682
