gene	cell_type	is_dysregulated	abs_avg_log2FC	dataset
GNAQ	Endothelial	TRUE	0.345295442479177	GSE295106
TNFRSF1B	Endothelial	TRUE	0.549195264204609	GSE295106
ZWINT	Endothelial	TRUE	0.365974901096979	GSE295106
MSH3	Endothelial	TRUE	0.835382980399043	GSE295106
IL2RG	Endothelial	TRUE	0.558504240537214	GSE295106
AIRN	Endothelial	TRUE	1.7038345055774	GSE295106
CELF2	Endothelial	TRUE	0.309294678102034	GSE295106
MAPKAPK3	Endothelial	TRUE	0.464628869336074	GSE295106
CXXC5	Endothelial	TRUE	0.841599315271353	GSE295106
RAP1B	Endothelial	TRUE	0.297719227680121	GSE295106
UVRAG	Endothelial	TRUE	0.627142070556319	GSE295106
SSR4	Endothelial	TRUE	0.323587351516954	GSE295106
CFLAR	Endothelial	TRUE	0.422346724932061	GSE295106
ANXA1	Endothelial	TRUE	0.621706904706338	GSE295106
HIST1H2AP	Endothelial	TRUE	1.11815593734791	GSE295106
TGFBR1	Endothelial	TRUE	0.368105559859833	GSE295106
DPH3	Endothelial	TRUE	0.413619302927026	GSE295106
MID1	Endothelial	TRUE	1.78039171423809	GSE295106
PLEKHO1	Endothelial	TRUE	0.864400060744191	GSE295106
LONRF3	Endothelial	TRUE	0.792986713324181	GSE295106
CIAO2B	Endothelial	TRUE	0.65630691278104	GSE295106
TPBG	Endothelial	TRUE	1.05508201347221	GSE295106
WDFY2	Endothelial	TRUE	0.800539490358976	GSE295106
ZFP608	Endothelial	TRUE	0.33079060200981	GSE295106
NCEH1	Endothelial	TRUE	0.729948897230332	GSE295106
ZSWIM6	Endothelial	TRUE	0.32407407081642	GSE295106
SLC12A6	Endothelial	TRUE	0.393520186599445	GSE295106
LGALS1	Endothelial	TRUE	0.460249122885012	GSE295106
ALDH2	Endothelial	TRUE	0.350308991236089	GSE295106
CCL3	Endothelial	TRUE	0.486960034277606	GSE295106
IFITM3	Endothelial	TRUE	0.338380398175267	GSE295106
GPI1	Endothelial	TRUE	0.32152049300378	GSE295106
UCP2	Endothelial	TRUE	0.424269403780909	GSE295106
BTG1	Endothelial	TRUE	0.263787015727703	GSE295106
NDUFA1	Endothelial	TRUE	0.415169600224466	GSE295106
CHKA	Endothelial	TRUE	0.354690803986416	GSE295106
PF4	Endothelial	TRUE	0.86184794361428	GSE295106
NEDD4	Endothelial	TRUE	0.506407935238639	GSE295106
CECR2	Endothelial	TRUE	1.48474975965914	GSE295106
PTGS2	Endothelial	TRUE	0.70545369298144	GSE295106
NPTN	Endothelial	TRUE	0.532284565727107	GSE295106
OASL1	Endothelial	TRUE	1.19007464380227	GSE295106
TTC39C	Endothelial	TRUE	0.383423399205505	GSE295106
SDHD	Endothelial	TRUE	0.654563592863263	GSE295106
FMNL2	Endothelial	TRUE	0.46952576973603	GSE295106
SDF2	Endothelial	TRUE	0.593213984863069	GSE295106
DENR	Endothelial	TRUE	0.406096014751368	GSE295106
CMIP	Endothelial	TRUE	0.361062868869147	GSE295106
ATP6V0E	Endothelial	TRUE	0.359411359256853	GSE295106
CCT5	Endothelial	TRUE	0.396508997811123	GSE295106
CD14	Endothelial	TRUE	0.652067573456987	GSE295106
GM19684	Endothelial	TRUE	1.16077073566785	GSE295106
SELPLG	Endothelial	TRUE	0.480979521327051	GSE295106
GOSR1	Endothelial	TRUE	0.557402090019527	GSE295106
MEF2C	Endothelial	TRUE	0.497087715507174	GSE295106
MPC1	Endothelial	TRUE	0.363625986168679	GSE295106
YIPF4	Endothelial	TRUE	0.4554194857779	GSE295106
SEMA3D	Endothelial	TRUE	1.33922132059157	GSE295106
CNOT6L	Endothelial	TRUE	0.443652338755246	GSE295106
SAMD5	Endothelial	TRUE	1.07615211481081	GSE295106
C9ORF72	Endothelial	TRUE	0.538387785073843	GSE295106
MED31	Endothelial	TRUE	0.707619553134847	GSE295106
ABCG1	Endothelial	TRUE	0.860141256342431	GSE295106
LSM8	Endothelial	TRUE	0.522786317896509	GSE295106
MPO	Endothelial	TRUE	0.502337084440185	GSE295106
CTSD	Endothelial	TRUE	0.352416328655349	GSE295106
ORMDL2	Endothelial	TRUE	0.630157079440418	GSE295106
TNFSF4	Endothelial	TRUE	1.48133538903477	GSE295106
PSMD11	Endothelial	TRUE	0.30012260334946	GSE295106
NFATC1	Endothelial	TRUE	0.64469071908746	GSE295106
SCAF8	Endothelial	TRUE	0.28193251421153	GSE295106
9530068E07RIK	Endothelial	TRUE	0.636480864097878	GSE295106
LEPROTL1	Endothelial	TRUE	0.360317377143585	GSE295106
1110038B12RIK	Endothelial	TRUE	0.460938857447557	GSE295106
CORO2A	Endothelial	TRUE	0.745872666064463	GSE295106
EAF1	Endothelial	TRUE	0.305910996039439	GSE295106
BCL2A1D	Endothelial	TRUE	1.32084640960155	GSE295106
ZSWIM4	Endothelial	TRUE	0.317335769232224	GSE295106
TPCN1	Endothelial	TRUE	0.681126172028185	GSE295106
CCL5	Endothelial	TRUE	1.18562687166135	GSE295106
TLE4	Endothelial	TRUE	0.42151028830034	GSE295106
MALT1	Endothelial	TRUE	0.652131522966617	GSE295106
STK24	Endothelial	TRUE	0.366123517107491	GSE295106
TACC1	Endothelial	TRUE	0.289569004963697	GSE295106
PUF60	Endothelial	TRUE	0.419906163977094	GSE295106
GM17749	Endothelial	TRUE	0.656489834124604	GSE295106
4632427E13RIK	Endothelial	TRUE	0.484274981643422	GSE295106
PTPRE	Endothelial	TRUE	0.415887441453964	GSE295106
IL1B	Endothelial	TRUE	0.290591280182156	GSE295106
ETV3	Endothelial	TRUE	0.469435002401714	GSE295106
NDUFB3	Endothelial	TRUE	0.475810658028228	GSE295106
TBC1D2	Endothelial	TRUE	0.772237586841854	GSE295106
SRXN1	Endothelial	TRUE	0.49139768225015	GSE295106
TLE5	Endothelial	TRUE	0.33449305872659	GSE295106
SYNE1	Endothelial	TRUE	0.495373702196689	GSE295106
ADGRG1	Endothelial	TRUE	0.387737802815852	GSE295106
CHURC1	Endothelial	TRUE	0.737505149182702	GSE295106
OSER1	Endothelial	TRUE	0.439843070680348	GSE295106
CMPK1	Endothelial	TRUE	0.40638073972327	GSE295106
IL31RA	Endothelial	TRUE	2.06630383354974	GSE295106
GM2245	Endothelial	TRUE	0.926434743297011	GSE295106
USP6NL	Endothelial	TRUE	0.47189137828919	GSE295106
MYL12B	Endothelial	TRUE	0.357216704093345	GSE295106
FAM204A	Endothelial	TRUE	0.477279957476523	GSE295106
SBDS	Endothelial	TRUE	0.432681738051532	GSE295106
NOP53	Endothelial	TRUE	0.314149604664592	GSE295106
LAMTOR4	Endothelial	TRUE	0.420716260300652	GSE295106
TMSB4X	Endothelial	TRUE	0.287546489049245	GSE295106
ARF5	Endothelial	TRUE	0.32725130669135	GSE295106
RBX1	Endothelial	TRUE	0.279199182483879	GSE295106
AHCYL2	Endothelial	TRUE	0.574233630765221	GSE295106
DDX3X	Endothelial	TRUE	0.281173497697757	GSE295106
STK10	Endothelial	TRUE	0.466482896374518	GSE295106
CHST11	Endothelial	TRUE	0.456786808166592	GSE295106
SMAD3	Endothelial	TRUE	0.598395419704142	GSE295106
DUSP11	Endothelial	TRUE	0.43102086290844	GSE295106
GM20186	Endothelial	TRUE	0.892738291366583	GSE295106
PLCG2	Endothelial	TRUE	0.450598481743729	GSE295106
DYNLT1F	Endothelial	TRUE	0.998578511551995	GSE295106
GM21188	Endothelial	TRUE	1.84703693814817	GSE295106
PPIB	Endothelial	TRUE	0.301476825135716	GSE295106
A1CF	Endothelial	TRUE	1.482618065531	GSE295106
RAMAC	Endothelial	TRUE	0.376387495691625	GSE295106
A530046M15RIK	Endothelial	TRUE	1.6489139377868	GSE295106
SLC16A12	Endothelial	TRUE	1.6019111746437	GSE295106
CORO1A	Endothelial	TRUE	0.321168855884038	GSE295106
GOLIM4	Endothelial	TRUE	0.405953020448707	GSE295106
CD34	Endothelial	TRUE	0.508228170845782	GSE295106
MAP3K14	Endothelial	TRUE	0.398613965747607	GSE295106
G0S2	Endothelial	TRUE	0.662784981927418	GSE295106
IFNAR2	Endothelial	TRUE	0.366464974971253	GSE295106
LY6A	Endothelial	TRUE	0.841644122585111	GSE295106
TRIO	Endothelial	TRUE	0.439691884381796	GSE295106
F630028O10RIK	Endothelial	TRUE	0.978810495587363	GSE295106
GM7580	Endothelial	TRUE	1.76352749327592	GSE295106
IGF1R	Endothelial	TRUE	0.274318186425618	GSE295106
TSIX	Endothelial	TRUE	0.382061115473785	GSE295106
STX6	Endothelial	TRUE	0.319748157224575	GSE295106
RBPMS	Endothelial	TRUE	0.398244279894971	GSE295106
CHD6	Endothelial	TRUE	0.282962281684268	GSE295106
H2-M3	Endothelial	TRUE	0.885424586852444	GSE295106
ANKS1	Endothelial	TRUE	0.663335917882697	GSE295106
PIP4K2A	Endothelial	TRUE	0.352368507948347	GSE295106
ARL14EP	Endothelial	TRUE	0.669342430438713	GSE295106
ICA1	Endothelial	TRUE	0.848389097951143	GSE295106
UBR2	Endothelial	TRUE	0.349093237799505	GSE295106
KRCC1	Endothelial	TRUE	0.615575694622211	GSE295106
TSC22D1	Endothelial	TRUE	0.469713328968946	GSE295106
PLXNC1	Endothelial	TRUE	0.946067204622669	GSE295106
PSMD14	Endothelial	TRUE	0.277891655790986	GSE295106
CXCL16	Endothelial	TRUE	1.0607803727049	GSE295106
GAB1	Endothelial	TRUE	0.555530741963825	GSE295106
PEBP1	Endothelial	TRUE	0.328956333367494	GSE295106
TIMM23	Endothelial	TRUE	0.303133960500609	GSE295106
SH2D4B	Endothelial	TRUE	0.688771426597798	GSE295106
WIPF1	Endothelial	TRUE	0.469054915956195	GSE295106
MAP2K1	Endothelial	TRUE	0.413083997751043	GSE295106
CRIM1	Endothelial	TRUE	0.729127805314777	GSE295106
ALAS1	Endothelial	TRUE	0.749929113036934	GSE295106
ARID1B	Endothelial	TRUE	0.296390331207363	GSE295106
CTSB	Endothelial	TRUE	0.405423872114682	GSE295106
HBP1	Endothelial	TRUE	0.314413742278268	GSE295106
BCL2A1B	Endothelial	TRUE	1.28477960273019	GSE295106
GABARAP	Endothelial	TRUE	0.286711004952112	GSE295106
BNIP2	Endothelial	TRUE	0.289548377044885	GSE295106
H13	Endothelial	TRUE	0.373170857058863	GSE295106
FBXO4	Endothelial	TRUE	0.696741218733386	GSE295106
RPL9-PS6	Endothelial	TRUE	0.515491752207028	GSE295106
SLC39A7	Endothelial	TRUE	0.79286186403532	GSE295106
